Commodity,PALLFNF,PEXGALL,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PAGRI,PRAWM,PALLMETA,PMETA,PPMETA,PEXGMETA,PFERT,PNRG,POILAPSP,PNGAS,PCOAL,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOALSA_USD,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFSHMEAL,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,POATS,PSORG,PWOOLC,PWOOLF,PZINC,PLMMODY,PCOBA,PGOLD,PSILVER,PPALLA,PPLAT,PPROPANE,PUREA,PPOTASH,PDAP,PTOMATO,PMILK,PCHANA,PAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M8,,,,,,55.77,,,73.94,,,31.84,,,,,,55.28,1782.00,546.40,83.78,120.39,40.50,34.00,1284.00,94.42,55.10,421.39,2956.40,81.28,751.04,963.04,91.89,14.05,125.38,875.00,130.53,170.64,109.84,1.92,,,10957.00,26.40,26.95,25.09,27.15,3416.71,1.72,240.47,93.97,49.72,260.00,40.08,5.92,487.52,208.30,4.85,192.70,536.82,222.71,10.93,23.26,581.15,174.55,5905.20,11.45,116.84,1.15,4.75,418.44,951.22,1615.00,,11700.00,394.63,5.00,115.41,492.73,,136.83,,177.26,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M9,,,,,,57.74,,,73.27,,,31.27,,,,,,55.28,2067.00,523.60,88.39,122.33,40.50,34.00,1371.00,94.92,57.09,422.95,3040.17,81.28,743.24,1252.50,87.66,14.05,124.07,838.00,134.78,170.65,102.36,1.92,,,10844.00,32.86,34.66,30.35,33.56,3383.62,1.45,234.69,95.68,49.58,259.00,40.62,6.29,487.75,199.59,5.18,198.24,524.48,226.92,11.02,23.23,580.13,185.25,5707.00,10.50,114.27,1.11,4.46,412.18,936.77,1537.00,,12420.00,389.76,4.80,105.07,461.67,,149.25,,182.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M10,,,,,,57.96,,,73.22,,,30.33,,,,,,55.28,1946.00,490.70,88.16,117.26,40.50,34.00,1309.00,91.41,58.05,429.86,2742.55,81.36,584.50,1780.43,84.59,14.05,125.46,760.00,125.51,174.52,100.00,2.38,,,9145.00,34.67,36.27,31.41,36.34,3501.09,1.23,239.65,113.63,48.67,281.00,40.65,6.35,505.24,206.98,5.66,200.76,487.88,224.80,9.39,23.29,594.23,220.20,6061.40,8.50,114.64,1.22,4.46,394.64,901.85,1353.00,,13530.00,381.00,4.39,95.49,424.95,,160.74,,189.48,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M11,,,,,,56.91,,,73.09,,,30.30,,,,,,55.28,1618.00,427.10,91.47,114.95,40.50,34.00,1352.00,84.84,56.79,432.07,2583.81,82.43,554.05,1743.18,82.86,14.05,123.73,700.00,131.44,161.48,100.00,2.38,,,8587.00,31.15,32.96,28.08,32.40,3535.09,1.13,274.35,110.74,48.34,272.00,40.74,6.46,511.33,206.64,5.66,192.01,458.12,211.85,10.06,23.15,601.67,228.60,5981.30,9.50,112.80,1.13,4.45,334.50,888.61,1278.00,,12630.00,381.79,4.17,93.59,422.24,,157.64,,189.64,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M12,,,,,,57.18,,,72.72,,,29.88,,,,,,55.28,1522.00,496.00,89.81,115.56,40.50,34.00,1297.00,89.89,57.04,420.13,2484.61,83.86,517.15,1488.10,84.85,14.05,120.32,624.00,142.54,156.07,102.36,2.38,,,8158.00,26.09,27.87,23.26,27.12,3469.00,1.09,285.92,106.50,47.50,264.00,40.14,6.50,499.20,198.22,5.66,189.54,466.28,213.87,9.74,22.48,638.16,219.95,5615.20,9.70,113.17,1.11,4.58,328.24,870.55,1265.00,,13930.00,376.68,4.08,89.08,420.07,,156.25,,184.25,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M1,,,,,,55.38,,,71.31,,,30.31,,,,51.51,,55.28,1515.00,596.69,93.88,117.62,40.50,34.00,1242.00,86.32,53.92,406.08,2447.13,83.71,526.29,1319.57,81.64,15.03,119.23,600.00,135.64,155.69,105.51,2.96,,1.43,8569.00,22.86,23.98,19.63,24.96,3480.70,1.19,288.40,120.18,47.69,305.00,39.38,6.34,497.05,186.94,5.99,180.40,468.04,207.51,8.80,21.80,625.49,236.19,5610.76,9.10,111.33,1.11,4.77,319.47,887.41,1206.00,,15690.00,383.70,4.05,86.77,407.84,,155.79,,180.89,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M2,,,,,,54.07,,,72.54,,,28.75,,,,40.37,,55.28,1505.00,693.77,92.04,123.96,40.50,34.00,1215.00,89.57,52.46,404.94,2447.13,84.88,611.24,1668.75,75.90,15.03,120.89,593.00,136.33,159.74,106.29,2.96,,1.41,8672.00,18.16,19.29,14.52,20.67,3538.31,1.17,279.31,106.67,48.78,326.00,38.49,6.41,492.56,220.67,6.31,183.51,470.69,210.13,8.51,21.42,593.75,200.35,5582.10,9.50,113.91,1.09,4.83,323.23,596.02,1188.00,,14840.00,364.39,3.74,84.39,386.79,,152.65,,185.10,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M3,,,,,,54.21,,,71.12,,,28.77,,,,42.10,,52.24,1496.00,837.23,88.09,117.56,39.50,31.00,1211.00,93.72,52.13,397.32,2409.65,84.23,507.13,1700.00,76.60,15.03,111.00,602.00,133.71,151.92,109.05,2.96,,1.36,8700.00,18.15,19.56,15.01,19.87,3295.73,1.16,287.58,109.88,48.52,311.00,37.76,5.78,491.12,211.42,6.47,184.07,483.91,213.32,9.14,21.43,571.36,184.74,5515.96,9.40,119.42,1.22,4.99,328.24,586.39,1199.00,,14840.00,362.76,3.95,86.42,399.99,,152.71,,184.81,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M4,,,,,,53.30,,,71.96,,,28.50,,,,43.90,,52.24,1392.00,779.13,85.15,118.44,39.50,31.00,1144.00,92.27,52.38,411.23,2471.38,83.43,510.41,1543.18,86.45,15.03,103.59,600.00,136.12,163.83,110.23,3.41,,1.36,9023.00,18.51,19.34,15.37,20.82,3149.82,1.15,263.61,107.66,47.90,286.00,37.33,5.37,495.44,209.34,6.47,190.37,472.01,215.89,8.51,21.22,556.47,182.04,5557.85,9.00,120.89,1.25,4.69,365.82,596.02,1254.00,,14840.00,358.32,3.98,96.38,396.88,,149.41,,180.45,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M5,,,,,,49.88,,,72.89,,,28.39,,,,44.89,,52.24,1299.95,632.63,85.30,119.11,39.50,31.00,1063.40,87.59,48.25,435.03,2340.42,84.17,510.05,982.61,88.72,15.03,103.98,559.82,130.27,162.71,105.74,3.41,,1.34,8499.61,18.81,19.22,15.94,21.27,3107.34,1.19,262.78,106.93,48.30,288.00,37.23,5.05,509.75,211.31,6.20,189.32,443.57,210.65,7.59,21.28,566.70,173.49,5698.72,9.20,122.04,1.27,4.65,371.88,721.00,1127.74,,14330.00,356.96,4.05,95.30,389.64,,142.96,,178.04,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M6,,,,,,48.54,,,74.10,,,29.16,,,,43.58,,52.24,1283.55,633.83,71.28,122.64,39.50,31.00,1041.48,85.50,47.10,415.22,2218.07,83.84,500.39,1000.00,86.70,15.03,100.10,549.44,131.16,192.81,105.11,3.41,,1.25,8296.50,17.93,18.17,15.41,20.19,2965.84,1.16,257.00,104.81,47.50,293.00,37.94,4.60,480.30,228.71,5.56,190.08,432.99,208.86,9.20,21.40,588.68,163.71,5709.30,9.00,120.15,1.15,4.46,340.60,777.51,1067.45,,13290.00,366.91,4.39,97.15,376.06,,135.00,,179.75,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M7,,,,,,47.00,,,72.33,,,29.20,,,,46.18,,52.24,1297.55,401.90,72.27,121.87,39.50,31.00,996.86,82.81,46.44,438.36,2231.26,81.02,501.56,938.04,83.91,15.03,96.75,549.59,133.02,195.30,105.73,3.12,,1.15,8515.20,19.03,19.45,16.23,21.41,2966.35,1.19,281.79,92.26,48.60,306.00,37.31,4.50,480.30,218.17,4.64,184.68,419.98,199.10,10.32,21.25,579.22,152.35,5673.60,8.55,118.21,1.22,4.55,337.48,723.48,1063.41,,12880.00,367.79,4.35,94.49,376.03,,130.00,,185.78,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M8,,,,,,48.46,,,71.09,,,28.12,,,,46.49,,52.24,1259.69,478.50,67.06,119.81,39.50,31.00,1136.35,81.62,46.61,437.68,2236.19,73.47,488.04,826.14,77.52,15.03,99.28,541.00,130.91,201.82,110.12,3.12,,1.30,8154.75,19.36,19.78,16.61,21.69,3030.12,1.18,279.31,77.79,47.50,298.00,37.05,4.71,553.48,212.42,4.85,199.19,445.33,208.08,9.59,21.77,575.61,162.12,5647.72,8.25,125.33,1.27,4.76,337.22,680.64,1047.74,,13370.00,356.67,3.96,82.77,346.35,,135.68,,176.45,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M9,,,,,,51.80,,,71.55,,,27.60,,,,47.58,,52.24,1212.10,366.86,67.43,124.50,39.50,31.00,1273.32,87.45,48.11,389.55,2318.58,70.33,505.34,750.00,74.05,15.03,99.89,538.95,133.83,200.27,108.85,3.12,,1.47,7675.95,20.07,20.54,17.80,21.88,3102.61,1.21,266.92,73.21,47.50,290.00,36.79,5.23,582.79,228.87,4.96,212.96,451.73,216.24,9.30,22.05,600.46,174.29,5575.10,7.25,135.37,1.23,4.82,313.96,613.45,1025.60,,14960.00,348.74,4.04,81.95,349.34,,135.67,,169.90,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M10,,,,,,50.78,,,70.14,,,28.40,,,,50.51,,52.24,1152.95,448.11,68.21,123.40,39.50,31.00,1304.40,79.86,47.48,408.23,2360.65,67.94,517.70,740.43,75.36,15.03,96.52,522.20,129.55,206.19,109.52,2.54,,1.68,7453.86,21.45,22.21,18.88,23.25,3100.45,1.51,285.10,59.99,48.16,277.00,37.51,5.18,573.05,218.33,4.96,203.19,431.66,205.74,9.13,21.78,600.84,185.85,5550.09,7.25,146.89,1.31,4.83,308.39,558.18,991.65,,17625.00,358.81,4.12,85.28,362.48,,138.65,,168.87,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M11,,,,,,52.50,,,68.87,,,28.45,,,,47.78,,52.24,1134.93,440.92,73.30,122.83,39.50,31.00,1316.94,78.52,51.69,428.37,2375.66,64.10,556.15,714.76,75.26,15.03,100.22,506.24,135.39,181.51,106.80,2.54,,1.81,7258.50,20.62,21.11,18.35,22.41,3199.41,1.69,299.14,55.73,47.14,274.00,36.96,5.59,573.89,215.79,4.85,198.68,418.44,205.67,8.63,21.76,605.13,197.07,5514.45,7.50,149.54,1.28,4.79,307.57,641.49,1100.65,,24380.00,359.59,4.07,85.24,365.11,,133.67,,154.67,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991M12,,,,,,52.27,,,68.81,,,28.49,,,,40.24,,52.24,1099.53,403.97,75.43,118.27,39.50,31.00,1366.61,75.10,51.43,426.62,2205.92,61.76,570.41,650.00,71.29,15.03,107.05,531.37,137.19,183.74,106.72,2.54,,1.85,7140.26,17.68,18.25,15.30,19.47,3281.67,1.60,310.71,52.89,47.25,270.00,35.72,5.58,567.39,232.11,5.34,191.53,421.96,204.15,9.00,21.48,581.66,198.63,5515.89,7.40,160.84,1.31,4.89,295.40,652.19,1185.08,,30580.00,361.53,3.95,82.38,353.30,,131.00,,157.25,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
